rank,type_key,ifc_class,instances,discipline,tier,proposed_code,proposed_code_label,evidence_sibling_type,evidence_sibling_instances,sibling_coded_instances_in_class,sibling_distinct_codes_in_class,join_key_ambiguous
199,AHU-2:Family4,IfcBuildingElementProxy,6,MECH,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
200,Gate Valve - 50-150 mm - Flanged:150 mm,IfcValve,6,MECH,derived:sibling,D4090,Other Fire Protection Systems,Victaulic_FireLock NXT Deluge Valve_Series 769_2:Victaulic_FireLock NXT Deluge Valve_Series 769_2,2,4,1,no
201,Basic Wall:Exterior - Limestone on Mtl. Stud w/ base and cap,IfcWall,5,ARC,derived:ai,,,,,0,0,
202,M_Double-Flush:1830 x 2134mm_Metal,IfcOpeningElement,5,ARC,derived:ai,,,,,0,0,
203,M_Single-Flush:0915 x 2032mm_Metal,IfcOpeningElement,5,ARC,derived:ai,,,,,0,0,
204,MetricLandingDoor2L_2011730_192425299:MetricLandingDoor2L,IfcBuildingElementProxy,5,ARC,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
205,MetricLandingDoor2R_2011730_193613577:MetricLandingDoor2R,IfcBuildingElementProxy,5,ARC,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
206,MetricLandingDoor2L_2011730_20013595:MetricLandingDoor2L,IfcBuildingElementProxy,5,ARC,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
207,MetricLandingDoor2L_2011730_20132826:MetricLandingDoor2L,IfcBuildingElementProxy,5,ARC,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
208,MetricCarDoor2L_2011730_20158482:MetricCarDoor2L,IfcBuildingElementProxy,5,ARC,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
209,M_Single-Flush:0915 x 2032mm_Metal,IfcDoor,5,ARC,derived:sibling,B2020200,Curtain Walls,M_Curtain Wall Sgl Glass:M_Curtain Wall Sgl Glass,5,7,2,YES
210,M_Double-Flush:1830 x 2134mm_Metal,IfcDoor,5,ARC,derived:sibling,B2020200,Curtain Walls,M_Curtain Wall Sgl Glass:M_Curtain Wall Sgl Glass,5,7,2,YES
211,Basic Roof:Paver Roof,IfcSlab,5,ARC,derived:ai,,,,,0,0,
212,UB-Universal Beam:305x165x40UB,IfcMember,5,STR,derived:sibling,B2020200,Curtain Walls,Curtain Wall:Profilit-K41-Thermally Broken Framing-K50_41_6,1580,1580,1,no
213,M_Duplex Receptacle:GFCI,IfcBuildingElementProxy,5,ELE,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
214,M_Centrifugal Fan - Inline - Tubular:489-2667 LPS,IfcBuildingElementProxy,5,MECH,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
