rank,type_key,ifc_class,instances,discipline,tier,proposed_code,proposed_code_label,evidence_sibling_type,evidence_sibling_instances,sibling_coded_instances_in_class,sibling_distinct_codes_in_class,join_key_ambiguous
275,MetricCabinFront_2011730_194036616:MetricCabinFront,IfcBuildingElementProxy,1,ARC,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
276,MetricCarDoor2R_2011730_194123875:MetricCarDoor2R,IfcBuildingElementProxy,1,ARC,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
277,MetricCabinFront_2011730_194144353:MetricCabinFront,IfcBuildingElementProxy,1,ARC,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
278,MetricCarDoor2L_2011730_194158676:MetricCarDoor2L,IfcBuildingElementProxy,1,ARC,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
279,MetricCoordinateSystem_2011730_19583959:475 x 610mm,IfcColumn,1,ARC,derived:ai,,,,,0,0,
280,MetricCabinFront_2011730_195959647:MetricCabinFront,IfcBuildingElementProxy,1,ARC,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
281,MetricCarDoor2L_2011730_20013643:MetricCarDoor2L,IfcBuildingElementProxy,1,ARC,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
282,MetricCarDoor2L_2011730_20132794:MetricCarDoor2L,IfcBuildingElementProxy,1,ARC,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
283,MetricCabinFront_2011730_20132806:MetricCabinFront,IfcBuildingElementProxy,1,ARC,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
284,08_Storefront w 2h mull_1vert mull:1500w x 3500h,IfcWindow,1,ARC,derived:ai,,,,,0,0,
285,JWCC_Mask_Dispenser:JWCC_Mask_Dispenser,IfcBuildingElementProxy,1,ARC,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
286,M_Double-Panel 1:1730 x 2134mm,IfcOpeningElement,1,ARC,derived:ai,,,,,0,0,
287,ED Nurse Station:ED Nurse Station,IfcFurniture,1,ARC,derived:ai,,,,,0,0,
